目标牌,分数,简单目标,完整目标
天府之土,8/16,东晋控制[巴蜀]区域,玩家控制[巴蜀]区域
江汉之固,7/18,东晋控制[荆州]区域,玩家控制[荆州]区域
河洛旧都,12/24,东晋控制[中原]区域,玩家控制[中原]区域
关中故畿,11/22,东晋控制[关中]区域,玩家控制[关中]区域
海岱之地,8/16,东晋控制[山东]区域,玩家控制[山东]区域
淮甸重镇,9/18,东晋控制[淮南]区域,玩家控制[淮南]区域
赵魏雄藩,11/22,东晋控制[河北]区域,玩家控制[河北]区域
表里山河,9/18,东晋控制[山西]区域,玩家控制[山西]区域
流芳百世,8/16,功绩超过5,功绩最高，且超过7
加九锡,12/28,威望超过7,威望最高，且超过第二名、第三名之和。
加九锡,12/28,威望超过7,威望最高，且超过第二名、第三名之和。
琴书继美,7/14,幕僚区和存档区有3个艺术标记,幕僚区和存档区有5个艺术标记
遗臭万年,7/14,幕僚区和存档区有3个权力标记,幕僚区和存档区有5个权力标记
敦悦五经,6/14,儒学等级超过3,儒学等级最高，且超过5
清言世业,6/14,玄学等级超过3,玄学等级最高，且超过5
崇奉三宝,6/14,佛学等级超过3,佛学等级最高，且超过5
