目标牌,分数,简单目标,完整目标
天府之土,7/14,东晋控制[巴蜀]区域,玩家控制[巴蜀]区域
河洛旧都,16/22,东晋控制[中原]区域,玩家控制[中原]区域
关中故畿,14/20,东晋控制[关中]区域,玩家控制[关中]区域
海岱之地,7/14,东晋控制[山东]区域,玩家控制[山东]区域
赵魏雄藩,14/20,东晋控制[河北]区域,玩家控制[河北]区域
表里山河,11/16,东晋控制[山西]区域,玩家控制[山西]区域
配享文庙,10/18,功绩大于等于7,功绩等于10
加九锡,12/30,威望超过7,威望最高，且超过第二名至少4点。
加九锡,12/30,威望超过7,威望最高，且超过第二名至少4点。
家财万贯,6/12,手牌超过5张,手牌超过8张
遗臭万年,7/14,幕僚区和存档区有3个权谋标记,幕僚区和存档区有5个权谋标记
敦悦五经,6/16,儒学贡献超过3,儒学贡献超过5，且儒学区域最多
清言世业,6/16,玄学贡献超过3,玄学贡献超过5，且玄学区域最多
崇奉三宝,6/16,佛学贡献超过3,佛学贡献超过5，且佛学区域最多
配享武庙,10/18,威望超过7，且没有完成[加九锡],威望等于10，且没有完成[加九锡]
世说新语,8/16,史书区有5张牌,史书区有8张牌
