目标牌,分数,简单目标,完整目标
天府之土,7/14,友方控制[巴蜀]区域,玩家控制[巴蜀]区域
河洛旧都,16/22,友方控制[中原]区域,玩家控制[中原]区域
关中故畿,14/20,友方控制[关中]区域,玩家控制[关中]区域
海岱之地,7/14,友方控制[山东]区域,玩家控制[山东]区域
赵魏雄藩,14/20,友方控制[河北]区域,玩家控制[河北]区域
表里山河,11/16,友方控制[山西]区域,玩家控制[山西]区域
配享太庙,10/18,功绩大于等于7,功绩等于9
加九锡,8/30,威望超过6,威望最高，且超过第二名至少3点。
加九锡,8/30,威望超过6,威望最高，且超过第二名至少3点。
家财万贯,6/12,手牌超过5张,手牌超过8张
遗臭万年,7/14,拥有3个权谋标记,拥有5个权谋标记
敦悦五经,6/16,儒学贡献超过3,儒学贡献超过5，且儒学轨道露出的空格最多
清言世业,6/16,玄学贡献超过3,玄学贡献超过5，且玄学轨道露出的空格最多
崇奉三宝,6/16,佛学贡献超过3,佛学贡献超过5，且佛学轨道露出的空格最多
配享武庙,10/18,威望超过6，且没有完成[加九锡],威望等于9，且没有完成[加九锡]
世说新语,8/16,史书区有5张牌,史书区有8张牌
