era,card_no,name,name_cn,type,ops,effect_summary,removed_after_event,notes
Early War,1,Asia Scoring,亚洲计分,Scoring,,统计亚洲存在度并计分,,"Deck contains 2 copies"
Early War,2,Europe Scoring,欧洲计分,Scoring,,统计欧洲存在度并计分,,"Deck contains 2 copies"
Early War,3,Middle East Scoring,中东计分,Scoring,,统计中东存在度并计分,,"Deck contains 2 copies"
Early War,4,Duck and Cover,卧倒掩护,USA,3,DEFCON降低1级；美国获得等于5减当前DEFCON等级的VP,Y,
Early War,5,Five Year Plan,五年计划,USSR,3,美国必须随机弃掉一张手牌；如果是计分牌则苏联获得其VP,N,
Early War,6,The China Card,中国牌,Special,4,"在亚洲所有行动+1Ops；使用后移交给对手（除非特定效果）",N,开局正面朝上不属于牌库
Early War,7,Socialist Governments,社会主义政府,USSR,3,"在最多3个西欧国家各移除1点美国影响力",Y,
Early War,8,Fidel,卡斯特罗,USSR,3,移除古巴所有美国影响力并添加足够苏联影响力使其被苏联控制,Y,
Early War,9,Vietnam Revolts,越南起义,USSR,2,在越南添加2点苏联影响力,,
Early War,10,Blockade,封锁,USSR,1,除非美国弃掉一张≥3Ops的牌否则美国移除西德所有影响力,,
Early War,11,Korean War,朝鲜战争,USSR,2,"苏联在朝鲜掷骰：d6减去1（若南韩受美国控制），≥3则成功",Y,
Early War,12,Romanian Abdication,罗马尼亚退位,USSR,1,在罗马尼亚添加足够苏联影响力使其被苏联控制,,
Early War,13,Arab-Israeli War,阿以战争,USSR,2,"苏联在以色列掷骰：d6减去1（若以色列受美国控制），3-6成功",Y,
Early War,14,COMECON,经互会,USSR,2,"在最多4个东欧非美国控制国家各添加2点苏联影响力",Y,
Early War,15,Nasser,纳赛尔,USSR,1,在埃及添加2点苏联影响力并从埃及移除一半（向上取整）美国影响力,Y,
Early War,16,Warsaw Pact Formed,华约成立,USSR,3,从东欧移除所有美国影响力并添加5点苏联影响力分配到东欧各国,Y,
Early War,17,De Gaulle Leads France,戴高乐领导法国,USSR,3,从法国移除2点美国影响力并添加1点苏联影响力,N,
Early War,18,Captured Nazi Scientist,被俘纳粹科学家,Neutral,1,获得2点太空竞赛进度,,
Early War,19,Truman Doctrine,杜鲁门主义,USA,1,移除欧洲任意一个非控制国所有苏联影响力,,
Early War,20,Olympic Games,奥林匹克运动会,Neutral,2,双方各掷一骰；高者获得2VP；若平局则各获得1VP,,
Early War,21,UN Intervention,联合国干预,Neutral,1,与你拥有的任意一张牌一起打出并结算该牌的事件,,
